constellation_id,Constellation,star_id,Name,galaxy_id,Galaxy
228,Ursa Major,17,Alcor,16,Cigar Galaxy
229,Ursa Major,17,Alcor,18,Coddington's Nebula
230,Ursa Major,17,Alcor,35,Helix Galaxy
231,Ursa Major,17,Alcor,41,Keenan's System
232,Ursa Major,17,Alcor,53,Mayall's Object
233,Ursa Major,17,Alcor,55,Medusa Merger
234,Ursa Major,17,Alcor,64,Pinwheel Galaxy
235,Ursa Major,17,Alcor,85,The Guitar
236,Ursa Major,17,Alcor,90,Whirlpool Galaxy
237,Ursa Major,31,Alioth,8,Bode's Galaxy
238,Ursa Major,31,Alioth,16,Cigar Galaxy
239,Ursa Major,31,Alioth,18,Coddington's Nebula
240,Ursa Major,31,Alioth,35,Helix Galaxy
241,Ursa Major,31,Alioth,41,Keenan's System
242,Ursa Major,31,Alioth,53,Mayall's Object
243,Ursa Major,31,Alioth,55,Medusa Merger
244,Ursa Major,31,Alioth,64,Pinwheel Galaxy
245,Ursa Major,31,Alioth,85,The Guitar
246,Ursa Major,31,Alioth,90,Whirlpool Galaxy
247,Ursa Major,33,Alkaid,8,Bode's Galaxy
248,Ursa Major,33,Alkaid,16,Cigar Galaxy
249,Ursa Major,33,Alkaid,18,Coddington's Nebula
250,Ursa Major,33,Alkaid,35,Helix Galaxy
251,Ursa Major,33,Alkaid,41,Keenan's System
252,Ursa Major,33,Alkaid,53,Mayall's Object
253,Ursa Major,33,Alkaid,55,Medusa Merger
254,Ursa Major,33,Alkaid,64,Pinwheel Galaxy
255,Ursa Major,33,Alkaid,85,The Guitar
256,Ursa Major,33,Alkaid,90,Whirlpool Galaxy
257,Ursa Major,35,Alkaphrah,8,Bode's Galaxy
258,Ursa Major,35,Alkaphrah,16,Cigar Galaxy
259,Ursa Major,35,Alkaphrah,18,Coddington's Nebula
260,Ursa Major,35,Alkaphrah,35,Helix Galaxy
261,Ursa Major,35,Alkaphrah,41,Keenan's System
262,Ursa Major,35,Alkaphrah,53,Mayall's Object
263,Ursa Major,35,Alkaphrah,55,Medusa Merger
264,Ursa Major,35,Alkaphrah,64,Pinwheel Galaxy
265,Ursa Major,35,Alkaphrah,85,The Guitar
266,Ursa Major,35,Alkaphrah,90,Whirlpool Galaxy
267,Ursa Major,61,Alula Australis,8,Bode's Galaxy
268,Ursa Major,61,Alula Australis,16,Cigar Galaxy
269,Ursa Major,61,Alula Australis,18,Coddington's Nebula
270,Ursa Major,61,Alula Australis,35,Helix Galaxy
271,Ursa Major,61,Alula Australis,41,Keenan's System
272,Ursa Major,61,Alula Australis,53,Mayall's Object
273,Ursa Major,61,Alula Australis,55,Medusa Merger
274,Ursa Major,61,Alula Australis,64,Pinwheel Galaxy
275,Ursa Major,61,Alula Australis,85,The Guitar
276,Ursa Major,61,Alula Australis,90,Whirlpool Galaxy
277,Ursa Major,62,Alula Borealis,8,Bode's Galaxy
278,Ursa Major,62,Alula Borealis,16,Cigar Galaxy
279,Ursa Major,62,Alula Borealis,18,Coddington's Nebula
280,Ursa Major,62,Alula Borealis,35,Helix Galaxy
281,Ursa Major,62,Alula Borealis,41,Keenan's System
282,Ursa Major,62,Alula Borealis,53,Mayall's Object
283,Ursa Major,62,Alula Borealis,55,Medusa Merger
284,Ursa Major,62,Alula Borealis,64,Pinwheel Galaxy
285,Ursa Major,62,Alula Borealis,85,The Guitar
286,Ursa Major,62,Alula Borealis,90,Whirlpool Galaxy
287,Ursa Major,107,Chalawan,8,Bode's Galaxy
288,Ursa Major,107,Chalawan,16,Cigar Galaxy
289,Ursa Major,107,Chalawan,18,Coddington's Nebula
290,Ursa Major,107,Chalawan,35,Helix Galaxy
291,Ursa Major,107,Chalawan,41,Keenan's System
292,Ursa Major,107,Chalawan,53,Mayall's Object
293,Ursa Major,107,Chalawan,55,Medusa Merger
294,Ursa Major,107,Chalawan,64,Pinwheel Galaxy
295,Ursa Major,107,Chalawan,85,The Guitar
296,Ursa Major,107,Chalawan,90,Whirlpool Galaxy
